V_u, V_v, V_w, (int32_t)V_u_f, (int32_t)V_v_f, (int32_t)V_w_f, V_w-V_w_f 
850, -8294, 7443, 879, -8281, 7402, 40.880859 
1780, -6700, 4918, 1798, -6685, 4886, 31.158203 
12775, -29571, 16794, 12833, -29487, 16654, 139.351562 
-9745, -12355, 22098, -9643, -12382, 22025, 72.792969 
10261, -23598, 13335, 10306, -23530, 13224, 110.859375 
492, -31638, 31145, 626, -31609, 30982, 162.556641 
-3228, -24707, 27934, -3103, -24699, 27803, 130.076172 
12516, -34499, 21981, 12606, -34417, 21810, 170.326172 
-8716, -8745, 17460, -8631, -8777, 17408, 51.687500 
-6340, -11164, 17502, -6255, -11184, 17439, 62.146484 
25155, -30401, 5245, 25165, -30264, 5099, 145.196289 
2633, -15890, 13256, 2694, -15867, 13173, 82.538086 
10948, -16962, 6012, 10973, -16900, 5927, 84.293457 
3269, -19947, 16676, 3348, -19921, 16572, 103.554688 
-95, -32295, 32390, 66, -32285, 32219, 170.785156 
276, -30287, 30011, 426, -30276, 29850, 160.580078 
6968, -24597, 17627, 7054, -24553, 17499, 127.808594 
19710, -21821, 2109, 19717, -21714, 1996, 112.050781 
18242, -25506, 7263, 18276, -25407, 7130, 132.466797 
-3970, -16591, 20559, -3860, -16610, 20471, 88.000000 
4787, -27610, 22822, 4907, -27582, 22674, 147.001953 
19084, -36881, 17795, 19178, -36777, 17598, 196.003906 
-906, -5759, 6664, -869, -5764, 6633, 30.618652 
12173, -28123, 15949, 12261, -28059, 15797, 151.741211 
11186, -21132, 9944, 11245, -21074, 9829, 114.249023 
9343, -36763, 27419, 9498, -36720, 27221, 197.419922 
20619, -37000, 16379, 20716, -36893, 16177, 201.806641 
9164, -26660, 17495, 9269, -26618, 17349, 145.837891 
7782, -15130, 7346, 7828, -15090, 7262, 83.421387 
-6859, -20004, 26862, -6705, -20055, 26760, 101.566406 
14478, -36081, 21602, 14614, -36016, 21402, 199.562500 
18132, -32282, 14149, 18226, -32194, 13967, 181.718750 
17388, -15652, -1738, 17391, -15558, -1832, 94.721191 
24, -9843, 9817, 83, -9849, 9766, 50.697266 
4917, -23657, 18740, 5036, -23648, 18611, 128.474609 
8192, -8690, 496, 8203, -8647, 443, 52.187653 
13072, -19748, 6675, 13125, -19685, 6560, 114.926758 
5213, -31813, 26598, 5385, -31814, 26429, 168.960938 
11404, -12155, 749, 11421, -12096, 674, 74.369141 
16950, -37443, 20490, 17102, -37381, 20279, 210.943359 
8796, -15058, 6260, 8847, -15020, 6172, 87.164551 
10244, -33989, 23743, 10408, -33966, 23557, 185.316406 
14374, -12810, -1566, 14385, -12733, -1651, 85.187378 
386, -21144, 20757, 520, -21170, 20650, 106.839844 
20758, -35843, 15084, 20890, -35764, 14873, 210.155273 
20990, -41168, 20176, 21157, -41096, 19939, 236.535156 
-5985, -24293, 30277, -5794, -24375, 30170, 106.876953 
14176, -37366, 23190, 14355, -37339, 22983, 206.710938 
1104, -10849, 9743, 1171, -10860, 9688, 54.133789 
14230, -36566, 22333, 14408, -36540, 22132, 200.968750 
23647, -18341, -5308, 23658, -18217, -5440, 132.971680 
26408, -39978, 13568, 26558, -39882, 13324, 243.552734 
5217, -21628, 16411, 5340, -21638, 16298, 112.454102 
29240, -21148, -8094, 29248, -20993, -8255, 161.374023 
14488, -31017, 16528, 14635, -30988, 16353, 174.936523 
13381, -16005, 2623, 13429, -15949, 2519, 103.494141 
22312, -33017, 10703, 22443, -32944, 10501, 201.622070 
14215, -25252, 11035, 14328, -25215, 10887, 147.217773 
-191, -8349, 8539, -131, -8370, 8502, 36.172852 
18175, -12793, -5384, 18186, -12699, -5487, 103.387207 
13652, -10393, -3261, 13666, -10324, -3341, 80.585205 
20674, -39623, 18948, 20866, -39589, 18722, 225.025391 
5959, -28577, 22617, 6135, -28615, 22480, 136.865234 
31966, -21034, -10933, 31980, -20868, -11112, 179.131836 
14170, -19722, 5549, 14252, -19679, 5427, 121.556152 
717, -11075, 10356, 792, -11102, 10309, 46.500000 
14493, -21485, 6991, 14588, -21449, 6861, 129.739258 
20374, -36119, 15745, 20549, -36088, 15538, 206.804688 
27773, -35074, 7301, 27912, -34987, 7075, 225.724121 
-573, -23367, 23939, -404, -23447, 23851, 87.068359 
21872, -24852, 2979, 21966, -24778, 2811, 167.515625 
12894, -26928, 14033, 13039, -26928, 13889, 143.114258 
5125, -10409, 5281, 5181, -10407, 5226, 54.924316 
6159, -20388, 14227, 6282, -20414, 14131, 95.182617 
19442, -18326, -1118, 19505, -18253, -1252, 134.609497 
30852, -22383, -8470, 30904, -22243, -8660, 190.493164 
6461, -11041, 4579, 6518, -11036, 4518, 60.856445 
17128, -30774, 13645, 17290, -30767, 13477, 167.983398 
29841, -28974, -868, 29947, -28869, -1077, 209.535767 
1541, -14411, 12869, 1638, -14456, 12817, 51.872070 
18238, -11087, -7153, 18259, -10999, -7259, 106.240723 
11868, -30218, 18349, 12046, -30256, 18209, 139.103516 
17796, -15374, -2424, 17852, -15309, -2542, 118.465820 
3954, -22726, 18771, 4102, -22792, 18689, 81.281250 
23283, -36848, 13564, 23475, -36837, 13361, 202.879883 
2705, -6889, 4182, 2746, -6897, 4150, 31.046387 
18713, -15825, -2889, 18774, -15761, -3012, 123.721436 
